event_file,eeg_file,total_votes_received,fraction_of_yes,Split
0000004_512,0000004,1,0.0,test
0000004_640,0000004,1,0.0,test
0000004_768,0000004,1,0.0,test
0000004_1280,0000004,1,0.0,test
0000004_1792,0000004,1,0.0,test
0000004_1920,0000004,1,0.0,test
0000004_2688,0000004,1,0.0,test
0000004_3328,0000004,1,0.0,test
0000004_3712,0000004,1,0.0,test
0000004_3968,0000004,1,0.0,test
0000004_4096,0000004,1,0.0,test
0000004_4736,0000004,1,0.0,test
0000004_5120,0000004,1,0.0,test
0000004_5376,0000004,1,0.0,test
0000004_6272,0000004,1,0.0,test
0000004_7168,0000004,1,0.0,test
0000004_7296,0000004,1,0.0,test
0000004_7424,0000004,1,0.0,test
0000004_8448,0000004,1,0.0,test
0000004_8704,0000004,1,0.0,test
0000004_9088,0000004,1,0.0,test
0000004_9216,0000004,1,0.0,test
0000004_9856,0000004,1,0.0,test
0000004_10112,0000004,1,0.0,test
0000004_10624,0000004,1,0.0,test
0000004_11520,0000004,1,0.0,test
0000004_12544,0000004,1,0.0,test
0000004_12672,0000004,1,0.0,test
0000004_12800,0000004,1,0.0,test
0000004_13952,0000004,1,0.0,test
0000004_14208,0000004,1,0.0,test
0000004_14976,0000004,1,0.0,test
0000004_15744,0000004,1,0.0,test
0000004_16384,0000004,1,0.0,test
0000004_16896,0000004,1,0.0,test
0000004_18560,0000004,1,0.0,test
0000004_18944,0000004,1,0.0,test
0000004_19456,0000004,1,0.0,test
0000004_20992,0000004,1,0.0,test
0000004_21376,0000004,1,0.0,test
0000004_21504,0000004,1,0.0,test
0000004_21888,0000004,1,0.0,test
0000004_22400,0000004,1,0.0,test
0000004_22912,0000004,1,0.0,test
0000004_23168,0000004,1,0.0,test
0000004_24320,0000004,1,0.0,test
0000004_25728,0000004,1,0.0,test
0000004_25856,0000004,1,0.0,test
0000004_26240,0000004,1,0.0,test
0000004_26368,0000004,1,0.0,test
0000004_26624,0000004,1,0.0,test
0000004_26752,0000004,1,0.0,test
0000004_28416,0000004,1,0.0,test
0000004_29952,0000004,1,0.0,test
0000004_30336,0000004,1,0.0,test
0000004_30592,0000004,1,0.0,test
0000004_31232,0000004,1,0.0,test
0000004_32512,0000004,1,0.0,test
0000004_33152,0000004,1,0.0,test
0000004_33536,0000004,1,0.0,test
0000004_36224,0000004,1,0.0,test
0000004_36480,0000004,1,0.0,test
0000004_37120,0000004,1,0.0,test
0000004_37248,0000004,1,0.0,test
0000004_37632,0000004,1,0.0,test
0000004_38272,0000004,1,0.0,test
0000004_38400,0000004,1,0.0,test
0000004_39808,0000004,1,0.0,test
0000004_39936,0000004,1,0.0,test
0000004_40576,0000004,1,0.0,test
0000004_40704,0000004,1,0.0,test
0000004_42496,0000004,1,0.0,test
0000004_42624,0000004,1,0.0,test
0000004_42752,0000004,1,0.0,test
0000004_42880,0000004,1,0.0,test
0000004_43392,0000004,1,0.0,test
0000004_43776,0000004,1,0.0,test
0000004_44416,0000004,1,0.0,test
0000004_45184,0000004,1,0.0,test
0000004_45312,0000004,1,0.0,test
0000004_45568,0000004,1,0.0,test
0000004_47104,0000004,1,0.0,test
0000004_47232,0000004,1,0.0,test
0000004_47360,0000004,1,0.0,test
0000004_47488,0000004,1,0.0,test
0000004_47616,0000004,1,0.0,test
0000004_47872,0000004,1,0.0,test
0000004_48256,0000004,1,0.0,test
0000004_48640,0000004,1,0.0,test
0000004_49536,0000004,1,0.0,test
0000004_51200,0000004,1,0.0,test
0000004_52096,0000004,1,0.0,test
0000004_52352,0000004,1,0.0,test
0000004_54016,0000004,1,0.0,test
0000004_54272,0000004,1,0.0,test
0000004_54912,0000004,1,0.0,test
0000004_55040,0000004,1,0.0,test
0000004_55424,0000004,1,0.0,test
0000004_55552,0000004,1,0.0,test
0000004_55808,0000004,1,0.0,test
0000004_56192,0000004,1,0.0,test
0000004_56320,0000004,1,0.0,test
0000004_57472,0000004,1,0.0,test
0000004_58112,0000004,1,0.0,test
0000004_58368,0000004,1,0.0,test
0000004_58624,0000004,1,0.0,test
0000004_58752,0000004,1,0.0,test
0000004_58880,0000004,1,0.0,test
0000004_60160,0000004,1,0.0,test
0000004_60416,0000004,1,0.0,test
0000004_60928,0000004,1,0.0,test
0000004_62208,0000004,1,0.0,test
0000004_63104,0000004,1,0.0,test
0000004_63616,0000004,1,0.0,test
0000004_64640,0000004,1,0.0,test
0000004_65792,0000004,1,0.0,test
0000004_65920,0000004,1,0.0,test
0000004_66432,0000004,1,0.0,test
0000004_67584,0000004,1,0.0,test
0000004_68992,0000004,1,0.0,test
0000004_69888,0000004,1,0.0,test
0000004_71168,0000004,1,0.0,test
0000004_71296,0000004,1,0.0,test
0000004_71936,0000004,1,0.0,test
0000004_72064,0000004,1,0.0,test
0000004_73728,0000004,1,0.0,test
0000004_75008,0000004,1,0.0,test
0000004_75136,0000004,1,0.0,test
